"Wavelength","Transmittance"
601,75.85011
602,75.949792
602,75.93211
602,75.835787
603,75.822478
603,75.895057
603,75.834479
604,75.769726
604,75.835403
604,75.877952
605,75.783719
605,75.774145
605,75.921031
606,75.757984
606,75.717731
606,75.9279
607,75.663408
607,75.679108
607,75.9588
608,75.582143
608,75.648754
608,76.061203
609,75.588859
609,75.601715
609,76.1537
610,75.703388
610,75.581702
610,76.141891
611,75.934049
611,75.699288
611,76.079174
612,76.261451
612,75.981718
612,76.095009
613,76.605677
613,76.299219
613,76.218847
614,76.891137
614,76.503917
614,76.391018
615,77.105037
615,76.56203
615,76.584648
616,77.23537
616,76.510999
616,76.781012
617,77.219335
617,76.38904
617,76.877218
618,77.044724
618,76.270537
618,76.777082
619,76.843337
619,76.264288
619,76.561
620,76.761527
620,76.376635
620,76.418434
621,76.774513
621,76.468313
621,76.417062
622,76.743645
622,76.435099
622,76.471048
623,76.621674
623,76.346852
623,76.517288
624,76.502039
624,76.336352
624,76.595809
625,76.48949
625,76.432647
625,76.753644
626,76.623544
626,76.601725
626,76.979704
627,76.901802
627,76.847609
627,77.242196
628,77.253508
628,77.135796
628,77.485192
629,77.512562
629,77.315212
629,77.60099
630,77.537781
630,77.266416
630,77.522961
631,77.365548
631,77.073396
631,77.354112
632,77.172835
632,76.936056
632,77.297724
633,77.087063
633,76.948372
633,77.423459
634,77.107025
634,77.071238
634,77.598925
635,77.19024
635,77.257376
635,77.673562
636,77.305926
636,77.461639
636,77.639912
637,77.406653
637,77.585111
637,77.585135
638,77.44398
638,77.549192
638,77.560518
639,77.423484
639,77.406565
639,77.558587
640,77.390348
640,77.28957
640,77.561075
641,77.369434
641,77.267154
641,77.56595
642,77.372459
642,77.33141
642,77.593804
643,77.430439
643,77.470584
643,77.674271
644,77.550073
644,77.650471
644,77.800481
645,77.677731
645,77.785714
645,77.911218
646,77.778223
646,77.836826
646,77.957133
647,77.905267
647,77.887823
647,77.962427
648,78.119076
648,78.03439
648,77.982239
649,78.372933
649,78.237397
649,78.019268
650,78.563279
650,78.384751
650,78.031592
651,78.645416
651,78.443005
651,78.010826
652,78.630449
652,78.455543
652,77.999327
653,78.527871
653,78.450095
653,78.03964
654,78.364622
654,78.434976
654,78.139287
655,78.215944
655,78.438878
655,78.261232
656,78.141173
656,78.470497
656,78.335367
657,78.117572
657,78.476236
657,78.321241
658,78.105762
658,78.413121
658,78.272816
659,78.130133
659,78.32475
659,78.293939
660,78.223193
660,78.287987
660,78.413451
661,78.343742
661,78.316854
661,78.554793
662,78.431636
662,78.378557
662,78.657388
663,78.489241
663,78.4493
663,78.743434
664,78.546108
664,78.499037
664,78.839149
665,78.593531
665,78.486392
665,78.911779
666,78.611408
666,78.424794
666,78.926053
667,78.635707
667,78.445806
667,78.914438
668,78.745553
668,78.719853
668,78.971396
669,78.869919
669,79.084046
669,79.057686
670,78.891848
670,79.22782
670,79.055698
671,78.85659
671,79.166012
671,78.968998
672,78.832822
672,79.027214
672,78.846097
673,78.855158
673,78.898938
673,78.753099
674,78.946134
674,78.858512
674,78.775523
675,79.106407
675,78.940594
675,78.942395
676,79.29047
676,79.079756
676,79.170707
677,79.430531
677,79.155432
677,79.339043
678,79.510952
678,79.134372
678,79.417795
679,79.567089
679,79.099244
679,79.465378
680,79.594215
680,79.112243
680,79.504799
681,79.531413
681,79.135122
681,79.488813
682,79.387802
682,79.13934
682,79.416032
683,79.295934
683,79.193785
683,79.3778
684,79.364285
684,79.356345
684,79.437704
685,79.538217
685,79.553399
685,79.545358
686,79.678677
686,79.660887
686,79.624733
687,79.734254
687,79.664935
687,79.680615
688,79.761117
688,79.659362
688,79.751457
689,79.806998
689,79.710001
689,79.814311
690,79.860813
690,79.798625
690,79.818724
691,79.903887
691,79.879764
691,79.779192
692,79.934074
692,79.919272
692,79.757003
693,79.943677
693,79.896969
693,79.77442
694,79.933664
694,79.8376
694,79.811051
695,79.942451
695,79.82325
695,79.865259
696,80.010752
696,79.916876
696,79.960279
697,80.125742
697,80.083641
697,80.096737
698,80.240862
698,80.235594
698,80.242914
699,80.34089
699,80.342105
699,80.372013
700,80.445162
700,80.447325
700,80.478282
701,80.555115
701,80.586889
701,80.561916
702,80.645958
702,80.739321
702,80.629051
703,80.708133
703,80.862739
703,80.699769
704,80.757902
704,80.940256
704,80.788906
705,80.807708
705,80.983912
705,80.884094
706,80.858106
706,81.020377
706,80.960557
707,80.919428
707,81.077839
707,81.009932
708,81.010442
708,81.167547
708,81.042165
709,81.131763
709,81.275574
709,81.073764
710,81.264265
710,81.381343
710,81.128069
711,81.390219
711,81.472467
711,81.225365
712,81.496918
712,81.535693
712,81.354274
713,81.571012
713,81.559268
713,81.476548
714,81.610074
714,81.560233
714,81.576186
715,81.63197
715,81.58422
715,81.677821
716,81.655943
716,81.656266
716,81.79931
717,81.685599
717,81.752139
717,81.915619
718,81.725559
718,81.837188
718,81.993496
719,81.79455
719,81.909004
719,82.033138
720,81.899098
720,81.983953
720,82.052102
721,82.012711
721,82.070125
721,82.056123
722,82.109483
722,82.174988
722,82.056148
723,82.198263
723,82.307299
723,82.088542
724,82.295538
724,82.442859
724,82.180603
725,82.387364
725,82.519619
725,82.309545
726,82.446431
726,82.502579
726,82.422216
727,82.471709
727,82.4352
727,82.486312
728,82.486664
728,82.397355
728,82.506529
729,82.512662
729,82.430059
729,82.509264
730,82.565773
730,82.524079
730,82.531898
731,82.658977
731,82.653621
731,82.605948
732,82.781717
732,82.790108
732,82.724378
733,82.89976
733,82.90818
733,82.842205
734,83.000199
734,83.008201
734,82.929261
735,83.109257
735,83.111645
735,83.001345
736,83.236492
736,83.212629
736,83.082179
737,83.33072
737,83.265688
737,83.160822
738,83.335775
738,83.252562
738,83.212156
739,83.274274
739,83.228648
739,83.236802
740,83.232852
740,83.262325
740,83.253617
741,83.269256
741,83.350185
741,83.271669
742,83.368989
742,83.433206
742,83.295133
743,83.488117
743,83.4814
743,83.338788
744,83.602429
744,83.525115
744,83.412815
745,83.712172
745,83.612163
745,83.50595
746,83.823684
746,83.763058
746,83.605953
747,83.931563
747,83.957295
747,83.721283
748,84.01233
748,84.138958
748,83.863416
749,84.049401
749,84.251312
749,84.025649
750,84.071252
750,84.288137
750,84.194951
751,84.136727
751,84.298336
751,84.361627
752,84.265848
752,84.33196
752,84.502753
753,84.415167
753,84.404192
753,84.585934
754,84.544242
754,84.516421
754,84.611272
755,84.671282
755,84.669335
755,84.62547
756,84.827924
756,84.831761
756,84.673698
757,84.991445
757,84.941579
757,84.759733
758,85.107996
758,84.974398
758,84.869277
759,85.162436
759,84.978794
759,84.997083
760,85.181941
760,85.011228
760,85.123263
761,85.18699
761,85.069779
761,85.199025
762,85.182761
762,85.126206
762,85.197528
763,85.187806
763,85.185315
763,85.15981
764,85.225948
764,85.267647
764,85.155485
765,85.290007
765,85.360255
765,85.209356
766,85.349535
766,85.431937
766,85.294174
767,85.393774
767,85.482031
767,85.379596
768,85.437325
768,85.535392
768,85.456979
769,85.490867
769,85.603399
769,85.528095
770,85.558323
770,85.682798
770,85.598432
771,85.654847
771,85.774615
771,85.676466
772,85.7912
772,85.870131
772,85.760892
773,85.941417
773,85.938856
773,85.838536
774,86.060293
774,85.969499
774,85.910342
775,86.136192
775,86.005366
775,86.002333
776,86.198409
776,86.097497
776,86.130002
777,86.270546
777,86.232864
777,86.267421
778,86.344938
778,86.348661
778,86.374893
779,86.408213
779,86.411104
779,86.44428
780,86.466222
780,86.443224
780,86.496325
781,86.534479
781,86.48025
781,86.548072
782,86.621353
782,86.535016
782,86.606512
783,86.725221
783,86.60681
783,86.681736
784,86.833601
784,86.689149
784,86.780916
785,86.925878
785,86.765712
785,86.895809
786,86.991736
786,86.82601
786,87.013952
787,87.043747
787,86.887221
787,87.131525
788,87.098692
788,86.978775
788,87.239937
789,87.156466
789,87.106664
789,87.317489
790,87.215111
790,87.252703
790,87.356405
791,87.291599
791,87.400056
791,87.383666
792,87.398811
792,87.534391
792,87.431055
793,87.511657
793,87.630479
793,87.495811
794,87.591712
794,87.670695
794,87.554832
795,87.645755
795,87.677624
795,87.604887
796,87.724761
796,87.701028
796,87.661875
797,87.855543
797,87.768142
797,87.730789
798,88.003393
798,87.868538
798,87.805376
799,88.114757
799,87.984402
799,87.89139
800,88.175513
800,88.107471
800,88.001591
801,88.217
801,88.225181
801,88.128528
802,88.280844
802,88.31754
802,88.244964
803,88.386257
803,88.378372
