"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30","V31","V32","V33","V34","V35","V36","V37","V38","V39","V40","V41","V42","V43","V44","V45","V46","V47","V48","V49","V50","V51","V52","V53","V54","V55","V56","V57","V58","V59","V60","V61","V62","V63","V64","V65","V66","V67","V68","V69","V70","V71","V72","V73","V74","V75","V76","V77","V78"
"A",0.669681499364162,0.407592132116158,0.342301632328315,0.188936379209983,0.437769123809205,0.180684024304822,0.301570075008564,0.185277187288221,0.0713266331708833,0.147609967914631,0.23043719549146,0.182018978361878,0.122091908573853,0.0429998378983052,0.0928414084666179,0.0906375163324206,0.0580625958753033,0.0905038403040363,0.0699751713138756,0.119916458375394,0.0834260407014681,0.0730460359427629,0.140056755318906,0.099158338081558,0.075307748778145,0.0866572333928467,0.123994673410819,0.0797509986845902,0.0853295314390017,0.0424941158858772,0.0782731495646008,0.0602423273806305,0.0852036964948701,0.0527340390011437,0.0490789976298019,0.0342560878287902,0.0496548777020876,0.0614060333431275,0.0465912408425906,0.086327927748548,0.0876007735207868,0.0740453097354229,0.0732063413431986,0.0351200475946674,0.0668469532099485,0.108620547636555,0.0687414019738684,0.0234335706512709,0.102679883021618,0.0619240101155898,0.047161977584907,0.0694830754287282,0.0328782343118252,0.0609576067810124,0.117077794869508,0.0783605095172394,0.0859065093293254,0.0543613779867282,0.0564400744444072,0.0412297032678465,0.0720572912430741,0.0549819648228562,0.071020614596553,0.0966153204823083,0.069538119889188,0.0985009719630331,0.0563787786027321,0.05838312159218,0.113063060588619,0.102184559869811,0.133737454968022,0.137793890834237,0.058508544001198,0.120282173606912,0.10965589022148,0.073873908091353,0.157030936677975,0.192538160813565
"AA",0.872599724024861,0.890322965365495,0.235556630815541,0.121541405143092,0.434249782961129,0.191367000939412,0.602506096002106,0.374663098018499,0.178930153705105,0.281446735965847,0.247345292676248,0.221536814659469,0.205728922293938,0.254486433293722,0.0719623005899368,0.0896982214730786,0.138548885856782,0.124244922524574,0.110545428037583,0.164889093016616,0.0417404516452221,0.239127764092397,0.19979725534533,0.224257636260521,0.0901373509846058,0.0916882002681826,0.156075245799468,0.107050978467621,0.0534526281153086,0.108190282615164,0.210824619751326,0.117884084455196,0.215861039102789,0.0603025012352084,0.092541056055451,0.0632109222050157,0.105148023747267,0.0904685415100007,0.0815115002493311,0.157502327729501,0.10995955451776,0.180633205276636,0.0931857496504251,0.0599333257985204,0.119180538190359,0.0818717289456325,0.109443860471702,0.0506516383931682,0.116790489275888,0.101254294531854,0.104583064798469,0.133112789397577,0.043734419627879,0.149052014892576,0.0985591687730048,0.10803333595896,0.117025614501956,0.0933398213872362,0.140115122154593,0.0645326197461577,0.076408917774752,0.11448105359492,0.163299831571726,0.0573012912984944,0.140564405578383,0.176281668051013,0.107233959627907,0.180685097822204,0.17138558793467,0.100881088821134,0.230156868065211,0.273836075251116,0.118486533975497,0.132151001504407,0.178186077169439,0.127380329745407,0.192962019615137,0.19943127556196
"AAP",0.894981526871152,0.235554487245978,0.176498840106409,0.322080585701734,0.21793925298035,0.11748114475276,0.502137447718943,0.153260862499726,0.0631675115045371,0.113487868957626,0.0908092006894318,0.0521294622600081,0.063010614134665,0.0704065281524861,0.0882600496853687,0.0576607601707468,0.0309878864182652,0.150863858517091,0.0546869823827171,0.0321595042719368,0.0306949735823447,0.0340753122831503,0.04910757423765,0.0910194739431893,0.0357839474659154,0.0740965425848637,0.0472325850147914,0.0173280201534262,0.0357939538056167,0.102437348631198,0.0888579804074912,0.0583366934206648,0.0638851435369189,0.0407390831819831,0.0453160887367153,0.0408602935715148,0.0336140805684564,0.0399807146006833,0.0778590398025962,0.0657283169686523,0.0520029727779794,0.0448535656628091,0.0326138155221894,0.051485514349909,0.014484109741616,0.0459537761484423,0.0248252079582524,0.0411118207738018,0.0404549681572415,0.0313823009545888,0.0227948703262416,0.0417604715056004,0.017012381657053,0.0263613404850049,0.0379753003384763,0.0431145749616238,0.0261112424789312,0.0175275498244145,0.0359376439729072,0.0379203899945853,0.0230880617411734,0.0386286238007508,0.0606372626327489,0.0271814880029095,0.0445310407041329,0.0248404429748818,0.0931853376332326,0.063377070484,0.0622918015873178,0.0666588200715045,0.0874320072393098,0.111632748367007,0.050062123133462,0.0773590901056014,0.0227156680015455,0.0470482813118307,0.0589381870658863,0.0529618838364139
"AAPL",0.183371306336819,0.515509940941099,0.142447703561625,0.269963547808409,0.195820079715168,0.0623015697553832,0.208928826796502,0.126656793003296,0.0789815155624972,0.208218711808,0.0741470794943985,0.171024238860636,0.133038426012635,0.10283238618831,0.117520243175709,0.0573413879556443,0.0531497954328508,0.11661369326068,0.0600633354882105,0.0614233320674586,0.0810434595278455,0.0897452484441517,0.0416697947414186,0.113376342736051,0.0419532914028785,0.0124384857649737,0.0692446905964029,0.058939165534419,0.0497920915273309,0.0589953385911046,0.0662798500698489,0.0559253717355797,0.0546758405105563,0.0557160915918644,0.0862910982270972,0.087448073627715,0.0727556500758146,0.0281501587849848,0.0343930326669945,0.0990135356214099,0.0713421348772161,0.0593997681201897,0.0689825746322984,0.0358214565852372,0.0478933573343595,0.0424591825431058,0.0773768454997206,0.024510304504386,0.0591882056318604,0.054873327775676,0.036533708562994,0.0487427266492897,0.0240146242378039,0.0505755483475121,0.064880808930714,0.070117641425392,0.0904843885236234,0.0894650559147473,0.0804809300863785,0.0689832779293784,0.134455663609817,0.079638392045033,0.0714536976910078,0.0876690792057084,0.0829516631094807,0.130842478495361,0.0533233498139627,0.0884588274755045,0.101513869851174,0.133134485988192,0.150638366454378,0.17852647375811,0.122236005617849,0.199675697365171,0.0773648068383586,0.0931620942923146,0.116926916893204,0.189364014117461
"AAWW",1.11112899234845,1.17467787611568,1.7763045669694,0.472093048238876,0.294044682215557,0.238089566614567,0.793244458908248,0.334501510223465,0.67296587046823,0.304776275961029,0.509773041709709,0.243433512342153,0.244199454532202,0.339157153712572,0.111974285366503,0.19036003167414,0.113701916425636,0.239876020725784,0.274494816925218,0.551346538558522,0.150343995415257,0.102528567276181,0.519014027563891,0.35293265510561,0.0818207535424809,0.185507792810925,0.383677751306773,0.132535173814626,0.214751588690537,0.19143296909918,0.112395613892305,0.265584635268833,0.152152242052349,0.202384747274742,0.0930476951371115,0.16478420368568,0.109737197451337,0.215300551232594,0.126916250853487,0.16664308101601,0.134017195608712,0.143129762937334,0.110930147209089,0.0347510757571795,0.191465949527199,0.196699302276207,0.248135393602104,0.0858115019936364,0.2602434904262,0.181132412395485,0.0826259837252452,0.325050123383522,0.0740546666266945,0.163593595065928,0.161864911594195,0.202099742393496,0.14749704078479,0.0856901112872239,0.165936775002745,0.19343910705411,0.191127035018878,0.132631852673882,0.146684245198236,0.259221083685314,0.0974024845173575,0.208604301512934,0.190216162238134,0.295291202880067,0.257510119984039,0.364866240601387,0.223667500621018,0.458929021935329,0.24470296201348,0.146543262088845,0.1640544008114,0.322239092418791,0.294431023843804,0.120274491006808
"ABB",0.148125340662645,0.200736265982041,0.160997154022962,0.11936614447731,0.166440595598285,0.0922563874783886,0.184674093492451,0.155645093958979,0.0931378083230964,0.13345737187781,0.161240645290983,0.126302984365608,0.0912383975561751,0.0884663701642239,0.0630279310858529,0.0596054554756391,0.0793845872163946,0.103702520652374,0.0925644659321477,0.137288480671728,0.0986215244981817,0.0806063075404535,0.0643201077878308,0.17962445789298,0.0191050252247983,0.0515677086627949,0.104089477144939,0.133239470873574,0.117393380507222,0.0795729156956821,0.114492080049429,0.0484230326336739,0.0910653129394926,0.0623913007334694,0.073141999493189,0.0539248106710485,0.0272223408395757,0.0822629201681476,0.0460746525459028,0.0710556789405663,0.082340823359443,0.0755914218272428,0.0726201460018988,0.0599630365418093,0.0539477715866285,0.0771143121571618,0.0853040092138262,0.054837540655634,0.0594327987138995,0.0727913777310673,0.0560423711254967,0.0761226001466802,0.0570209200810899,0.065333624984283,0.072503204385146,0.0704755465376651,0.0621587267796418,0.0493199171446674,0.0668686715416868,0.0838588693406152,0.071790121652294,0.0555136077690119,0.0531505306620503,0.0925099243636384,0.062017537781995,0.119950623883553,0.11250554773873,0.109938699115925,0.1303152296515,0.0852833536208059,0.111616977732095,0.13135708108916,0.0884533226778419,0.114806357555567,0.113598196507049,0.0818728406744438,0.12228326028695,0.151319638672109
"ABC",0.448202022723434,0.248955343690371,0.139369691625602,0.148004990181835,0.114858327369962,0.0500638221987954,0.0986264847117384,0.0701989677694787,0.092775428395793,0.0869275531270651,0.142163512756774,0.0519834463825937,0.0368834372765965,0.048219216954125,0.0261861217486766,0.0323069133724852,0.0464255874441242,0.0877248940856745,0.0506022927293582,0.0423838586033097,0.020200511549717,0.0707801768234966,0.0499129205168975,0.0392056448582771,0.0639327676183228,0.0507329679541943,0.0683336972134747,0.072363793977779,0.0257345961010732,0.0338593199070167,0.0963747919062006,0.0400896159830853,0.0456526688714073,0.0356985014636627,0.0421110799553777,0.0288667123880058,0.0232931955895716,0.0313375109995595,0.0458944831287046,0.0497530923735982,0.042680162633644,0.0533948702789515,0.0379449274913547,0.023382167185624,0.0509380204103718,0.0178981217515418,0.0570202884291722,0.0183798266453632,0.0375112018904895,0.0367526954448791,0.0484250846786628,0.0446327938256531,0.0399213689018936,0.0287966373268566,0.044585331151386,0.0271513136563485,0.0599819712898396,0.0233725759342096,0.0305528407266945,0.0198131615065484,0.0394296264698954,0.0293494253833054,0.0454125966600655,0.0730899643870299,0.0276959878626066,0.04353570355517,0.0400616030119479,0.0615123068332655,0.0606010741456822,0.0535770289382334,0.0640509704417934,0.102012467959573,0.0302780275395036,0.0573043718987536,0.0900014168112963,0.0698726848527755,0.0802699602677909,0.124839002818916
"ABFS",2.18985751045725,2.80039176975393,0.785533046080576,1.23069948685707,0.699247617586183,0.519561283541619,0.830851318064769,0.461901022264495,0.174764236975481,0.631007114979126,0.189252353330224,0.219578894957005,0.19092766667361,0.153549934502811,0.218910438113,0.225517364513546,0.297645165114686,0.162508137798082,0.125706895901648,0.208938652487892,0.177049015341616,0.112788301260467,0.100703818663701,0.511693685084396,0.267336678296244,0.0776617419699368,0.190625642925386,0.0913132052035588,0.157275581137818,0.0562767240283612,0.340113713674713,0.245683458906942,0.317031477256282,0.219127133444735,0.0518903632189371,0.214539058836234,0.163676460080545,0.147315863454226,0.12062876271891,0.189882531183128,0.123800896615434,0.137084006036218,0.176040804226229,0.0921979227768614,0.0330314166086676,0.239095389384206,0.21911156474287,0.0924182119053635,0.185896591332539,0.0848427322207691,0.0789147788850547,0.209769559023895,0.0683809915514171,0.0616817246497603,0.0791180666201711,0.0744883622646444,0.166501808481345,0.13248742341028,0.106733101908634,0.0472968783034743,0.115044807814413,0.141122771169371,0.0504578495721908,0.18512850154014,0.0801756466589805,0.136254260153053,0.145904325926574,0.197516209105372,0.21206215538194,0.127343688022121,0.171919665288396,0.262115453851054,0.121204235644349,0.143109443634257,0.154475633511785,0.160063782256812,0.281777036254804,0.154201689542959
"ABG",3.12727448938929,1.43037710582176,0.603525293125425,1.48306841244528,0.556451124502587,0.437863531468028,0.594842094586388,0.324906842480846,0.144354170634943,0.478308991229728,0.581722689056987,0.364163674213164,0.348304841760247,0.30018576180226,0.425314082484768,0.244391997688003,0.403577175188667,0.266458444729438,0.333399927490448,0.191245572401922,0.261254366468623,0.17271560689074,0.352681712138312,0.492280620440071,0.150273610588516,0.083068852815823,0.373973689170168,0.509196794350726,0.212429959213989,0.164030067738096,0.368399961951986,0.267327426463711,0.318611638185819,0.102172965479622,0.126365761270357,0.18518151114604,0.128384201217033,0.325785340491898,0.102557904531882,0.165033424186562,0.0629647146620457,0.132623095801188,0.260240742457706,0.20571149840928,0.187332430588797,0.13853639119187,0.0952006953627475,0.0715681750443565,0.17982666539779,0.155462480517255,0.047233842310727,0.127485981832134,0.0747460938438566,0.129897486414665,0.0633587866297592,0.145949739123202,0.258642207663032,0.159265318928284,0.136824133816086,0.117427546004059,0.122378102196243,0.227035868234782,0.247279524643235,0.206136129034489,0.205106144639376,0.258413124712717,0.154437337270368,0.206841615088106,0.249205442809788,0.283357260161169,0.460462906888853,0.192793176267161,0.241226587733141,0.188095755398692,0.455311421255213,0.36147510779797,0.367257578993043,0.339981034170553
"ABT",0.457189176043728,0.279879434445277,0.171520581694695,0.0687589145215348,0.226289274876154,0.0266727247799827,0.066152203333618,0.0503753256134658,0.0244923064149747,0.0416622192089424,0.0664479288406292,0.0329692406604826,0.0352857135572262,0.0718376743798994,0.0462790443812152,0.025480784922426,0.0198446660946187,0.0366656203439797,0.0381357951466178,0.0298151294173165,0.015185363243702,0.0299649204131036,0.0857675904991964,0.0388622776878832,0.0188521094065351,0.0340347675926117,0.0469165846382077,0.0231157658146197,0.0278895602301119,0.0265488541409046,0.0387198457514259,0.0624269655342789,0.0261689997850567,0.0278971412029108,0.0384805602885096,0.0197924353813452,0.0310294091315186,0.0192252927929086,0.0265421263230874,0.0339000055043618,0.0215422708010345,0.0258806716304931,0.0290879443701734,0.019684623226251,0.0235613012818588,0.0141147764976127,0.019303842167068,0.0229568782217279,0.0273388226362963,0.0222574367426711,0.0355946335884972,0.0325417692181374,0.0114995792678102,0.0222934606001939,0.00744142517238339,0.0301323190614797,0.0426878093903552,0.0285360581338957,0.0186637763526797,0.0210415961078061,0.0278703757793827,0.0166264288126062,0.0307832065117007,0.0422573231504048,0.0178224067186304,0.0291710627361398,0.0359211177722442,0.0232966125032586,0.0348376232219119,0.0381046740159808,0.0466952722248687,0.0660602951681449,0.0392690530360184,0.0556698641198189,0.0536814610167513,0.0652416304719499,0.071202719075166,0.13983045939331
